no_perkara,tanggal,jenis_perkara,pasal,pihak,text_full,case_id,amar_putusan
,,Perpajakan,,,hkama ahkamah Agung Repub ahkamah Agung Republik Indonesia mah Agung Republik Indonesia blik Indonesi Direktori Putusan Mahkamah Agung Republik Indonesia putusan.mahkamahagung.go.id,case_001,Permohonan ditolak
Put-67457/PP/M.VA/13/2015,03 Juni 2013,Perpajakan,26 Tahun Pajak : 2003 Pokok Sengketa : bahwa nilai sengketa dalam sengketa banding ini adalah koreksi pajak yang masih harus dibayar sebesar Rp39,,"hkama ahkamah Agung Repub ahkamah Agung Republik Indonesia mah Agung Republik Indonesia blik Indonesi Direktori Putusan Mahkamah Agung Republik Indonesia putusan.mahkamahagung.go.id Putusan Pengadilan Pajak Nomor : Put-67457/PP/M.VA/13/2015 Jenis Pajak : Pajak Penghasilan Pasal 26 Tahun Pajak : 2003 Pokok Sengketa : bahwa nilai sengketa dalam sengketa banding ini adalah koreksi pajak yang masih harus dibayar sebesar Rp39.410.313.999,00 yang tidak disetujui Pemohon Banding; Menurut Terbanding : Terbanding berpendapat bahwa SKPKB yang pengajuan keberatannya diputus dengan keputusan keberatan a quo berdasarkan Pasal 2 huruf e UU PTUN tidak termasuk dalam pengertian Keputusan Tata Usaha Negara sehingga bukan merupakan objek sengketa Pengadilan Pajak yang berada di lingkungan Peradilan Tata Usaha Negara/ Menurut Pemohon : bahwa prosedur verifikasi yang dilakukan oleh Terbanding tidak sesuai dengan ketentuan yang berlaku; Menurut Majelis : bahwa Terbanding menerbitkan SKPKB PPh Pasal 26 Masa Pajak Januari s.d Desember 2003 Nomor: 00001/204/03/092/13 tanggal 03 Juni 2013 dengan pajak yang kurang dibayar sebesar Rp 39.410.313.999,00 ditambah dengan sanksi administrasi sebesar Rp 18.916.950.720,00, sehingga terdapat jumlah Pajak Penghasilan yang masih harus dibayar menurut SKPKB PPh Pasal 26 sebesar Rp 58.327.264.719,00 dengan alasan dan pertimbangan sebagai berikut: 1. Koreksi Pajak yang tidak/kurang dibayar dilakukan berdasarkan Putusan Mahkamah Agung RI Nomor 2239K/PID.SUS/2012 tanggal 18 Desember 2012; 2. bahwa penerbitan SKPKB PPh Pasal 26 Nomor : 00001/204/03/092/13 tanggal 03 Juni 2013 telah sesuai dengan ketentuan Undang-undang Nomor 6 Tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan sebagaimana telah beberapa kali diubah terakhir dengan Undang-undang Nomor 16 Tahun 2009 dan peraturan pelaksanaannya; bahwa Pemohon Banding tidak setuju atas penerbitan SKPKB PPh Pasal 26 Masa Pajak Januari s.d Desember 2003 tersebut dengan alasan-alasan dan penjelasan sebagai berikut: 1. Putusan Mahkamah Agung Nomor: 2239K/PID.SUS/2012 tanggal 18 Desember 2012 adalah putusan terhadap Sdr. Suwir Laut bukan terhadap Pemohon Banding, dengan demikian Terbanding tidak memiliki kewenangan untuk menerbitkan SKPKB PPh Pasal 26 karena dalam",case_002,Permohonan dikabulkan sebagian
Put-67456/PP/M.VA,03 Juni 2013,Perpajakan,26 Tahun Pajak : 2002 Pokok Sengketa : bahwa nilai sengketa dalam sengketa banding ini adalah koreksi pajak yang tidak/kurang dibayar sebesar Rp19,,"hkama ahkamah Agung Repub ahkamah Agung Republik Indonesia mah Agung Republik Indonesia blik Indonesi Direktori Putusan Mahkamah Agung Republik Indonesia putusan.mahkamahagung.go.id Putusan Pengadilan Pajak Nomor : Put-67456/PP/M.VA /13/2015 Jenis Pajak : Pajak Penghasilan Pasal 26 Tahun Pajak : 2002 Pokok Sengketa : bahwa nilai sengketa dalam sengketa banding ini adalah koreksi pajak yang tidak/kurang dibayar sebesar Rp19.906.465.454,00 yang tidak disetujui Pemohon Banding; Menurut Terbanding : Terbanding berpendapat bahwa SKPKB yang pengajuan keberatannya diputus dengan keputusan keberatan a quo berdasarkan Pasal 2 huruf e UU PTUN tidak termasuk dalam pengertian Keputusan Tata Usaha Negara sehingga bukan merupakan objek sengketa Pengadilan Pajak yang berada di lingkungan Peradilan Tata Usaha Negara. Menurut Pemohon : bahwa prosedur verifikasi yang dilakukan oleh Terbanding tidak sesuai dengan ketentuan yang berlaku; Menurut Majelis : bahwa Terbanding menerbitkan SKPKB PPh Pasal 26 Masa Pajak Januari s.d Desember 2002 Nomor : 00001/204/02/092/13 tanggal 03 Juni 2013 dengan pajak yang kurang dibayar sebesar Rp 19.906.465.454,00 ditambah dengan sanksi administrasi sebesar Rp 9.555.103.418,00, sehingga terdapat jumlah PPh yang masih harus dibayar menurut SKPKB PPh Pasal 26 sebesar Rp 29.461.568.872,00 dengan alasan dan pertimbangan sebagai berikut: 1. Koreksi Pajak yang tidak/kurang dibayar dilakukan berdasarkan Putusan Mahkamah Agung RI Nomor 2239K/PID.SUS/2012 tanggal 18 Desember 2012; 2. bahwa penerbitan telah sesuai dengan ketentuan Undang-undang Nomor 6 Tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan sebagaimana telah beberapa kali diubah terakhir dengan Undang-undang Nomor 16 Tahun 2009 dan peraturan pelaksanaannya; bahwa Pemohon Banding tidak setuju atas penerbitan SKPKB PPh Pasal 26 Masa Pajak Januari s.d Desember 2002 Nomor : 00001/204/02/092/13 tanggal 03 Juni 2013 tersebut dengan alasan-alasan dan penjelasan sebagai berikut: 1. Putusan Mahkamah Agung Nomor: 2239K/PID.SUS/2012 tanggal 18 Desember 2012 adalah putusan terhadap Sdr. Suwir Laut bukan terhadap Pemohon Banding, dengan demikian Terbanding tidak memiliki kewenangan untuk menerbitkan SKPKB PPh Pasal 26 karena dalam",case_003,Permohonan dikabulkan seluruhnya
Put-67272/PP/M.VB/15/2015,23 Mei 2013,Perpajakan,2 huruf e UU PTUN tidak termasuk dalam pengertian Keputusan Tata Usaha Negara sehingga bukan merupakan objek sengketa Pengadilan Pajak yang berada di lingkungan Peradilan Tata Usaha Negara,,"hkama ahkamah Agung Repub ahkamah Agung Republik Indonesia mah Agung Republik Indonesia blik Indonesi Direktori Putusan Mahkamah Agung Republik Indonesia putusan.mahkamahagung.go.id Putusan Pengadilan Pajak Nomor : Put-67272/PP/M.VB/15/2015 Jenis Pajak : Pajak Penghasilan Badan Tahun Pajak : 2002 Pokok Sengketa : bahwa nilai sengketa dalam sengketa Banding ini adalah penetapan Pajak Yang Tidak/Kurang Dibayar atas PPh Badan Tahun Pajak 2002 sebesar Rp 11.073.310.700; Menurut Terbanding : Terbanding berpendapat bahwa SKPKB yang pengajuan keberatannya diputus dengan keputusan keberatan a quo berdasarkan Pasal 2 huruf e UU PTUN tidak termasuk dalam pengertian Keputusan Tata Usaha Negara sehingga bukan merupakan objek sengketa Pengadilan Pajak yang berada di lingkungan Peradilan Tata Usaha Negara. Menurut Pemohon : bahwa prosedur verifikasi yang dilakukan oleh Terbanding tidak sesuai dengan ketentuan yang berlaku; Menurut Majelis : bahwa Terbanding menerbitkan SKPKB PPh Badan Tahun Pajak 2002 Nomor : 00003/206/02/073/13 tanggal 23 Mei 2013 dengan pajak yang kurang dibayar sebesar Rp 11.073.310.700 ditambah dengan sanksi administrasi sebesar Rp 5.315.189.136, sehingga terdapat jumlah PPh yang masih harus dibayar menurut SKPKB PPh Badan sebesar Rp 16.388.499.836,- dengan alasan dan pertimbangan sebagai berikut: 1. Koreksi Pajak yang tidak/kurang dibayar dilakukan berdasarkan Putusan Mahkamah Agung RI Nomor 2239K/PID.SUS/2012 tanggal 18 Desember 2012; 2. Bahwa penerbitan SKPKB PPh Badan Nomor : 00003/206/02/073/13 tanggal 23 Mei 2013 telah sesuai dengan ketentuan Undang-undang Nomor 6 Tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan sebagaimana telah beberapa kali diubah terakhir dengan Undang-undang Nomor 16 Tahun 2009 dan peraturan pelaksanaannya; bahwa Pemohon Banding tidak setuju atas penerbitan SKPKB PPh Badan Tahun Pajak 2002 tersebut dengan alasan-alasan dan penjelasan sebagai berikut: 1. Putusan Mahkamah Agung Nomor: 2239K/PID.SUS/2012 tanggal 18 Desember 2012 adalah putusan terhadap Sdr. Suwir Laut bukan terhadap Pemohon Banding, dengan demikian Terbanding tidak memiliki kewenangan untuk menerbitkan SKPKB PPh Badan karena dalam",case_004,Gugatan tidak dapat diterima
Put-67266/PP/M.VB/13/2015,23 Mei 2013,Perpajakan,26 Tahun Pajak : 2003 Pokok Sengketa : bahwa nilai sengketa dalam sengketa Banding ini adalah penetapan Pajak Yang Tidak/Kurang Dibayar atas PPh Pasal 26 Tahun Pajak 2003 sebesar Rp 5,,"hkama ahkamah Agung Repub ahkamah Agung Republik Indonesia mah Agung Republik Indonesia blik Indonesi Direktori Putusan Mahkamah Agung Republik Indonesia putusan.mahkamahagung.go.id Putusan Pengadilan Pajak Nomor : Put-67266/PP/M.VB/13/2015 Jenis Pajak : Pajak Penghasilan Pasal 26 Tahun Pajak : 2003 Pokok Sengketa : bahwa nilai sengketa dalam sengketa Banding ini adalah penetapan Pajak Yang Tidak/Kurang Dibayar atas PPh Pasal 26 Tahun Pajak 2003 sebesar Rp 5.363.025.884; Menurut Terbanding : Terbanding berpendapat bahwa SKPKB yang pengajuan keberatannya diputus dengan keputusan keberatan a quo berdasarkan Pasal 2 huruf e UU PTUN tidak termasuk dalam pengertian Keputusan Tata Usaha Negara sehingga bukan merupakan objek sengketa Pengadilan Pajak yang berada di lingkungan Peradilan Tata Usaha Negara. Menurut Pemohon : bahwa prosedur verifikasi yang dilakukan oleh Terbanding tidak sesuai dengan ketentuan yang berlaku; Menurut Majelis : bahwa Terbanding menerbitkan SKPKB Pajak Penghasilan Pasal 26 Tahun Pajak 2003 Nomor : 00006/204/03/073/13 tanggal 23 Mei 2013 dengan jumlah pajak yang kurang dibayar sebesar Rp 5.363.025.884,00 ditambah dengan sanksi administrasi sebesar Rp 2.574.252.424,00, sehingga terdapat jumlah PPh yang masih harus dibayar menurut SKPKB PPh Pasal 26 sebesar Rp 7.937.278.308,00,- dengan alasan dan pertimbangan sebagai berikut: 1. Koreksi Pajak yang tidak/kurang dibayar dilakukan berdasarkan Putusan Mahkamah Agung RI Nomor 2239K/PID.SUS/2012 tanggal 18 Desember 2012; 2. Bahwa penerbitan SKPKB PPh Pasal 26 Nomor : 00006/204/03/073/13 tanggal 23 Mei 2013 telah sesuai dengan ketentuan Undang-undang Nomor 6 Tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan sebagaimana telah beberapa kali diubah terakhir dengan Undang-undang Nomor 16 Tahun 2009 dan peraturan pelaksanaannya; bahwa Pemohon Banding tidak setuju atas penerbitan SKPKB PPh Pasal 26 Tahun Pajak 2003 tersebut dengan alasan-alasan dan penjelasan sebagai berikut: 1. Putusan Mahkamah Agung Nomor: 2239K/PID.SUS/2012 tanggal 18 Desember 2012 adalah putusan terhadap Sdr. Suwir Laut bukan terhadap Pemohon Banding, dengan demikian Terbanding tidak memiliki kewenangan untuk menerbitkan SKPKB PPh Pasal 26 karena dalam",case_005,Tidak berwenang mengadili
Put-67265/PP/M.VB/13/2015,23 Mei 2013,Perpajakan,26 Tahun Pajak : 2002 Pokok Sengketa : bahwa nilai sengketa dalam sengketa Banding ini adalah penetapan Pajak Yang Tidak/Kurang Dibayar atas PPh Pasal 26 Tahun Pajak 2002 sebesar Rp 11,,"hkama ahkamah Agung Repub ahkamah Agung Republik Indonesia mah Agung Republik Indonesia blik Indonesi Direktori Putusan Mahkamah Agung Republik Indonesia putusan.mahkamahagung.go.id Putusan Pengadilan Pajak Nomor : Put-67265/PP/M.VB/13/2015 Jenis Pajak : Pajak Penghasilan Pasal 26 Tahun Pajak : 2002 Pokok Sengketa : bahwa nilai sengketa dalam sengketa Banding ini adalah penetapan Pajak Yang Tidak/Kurang Dibayar atas PPh Pasal 26 Tahun Pajak 2002 sebesar Rp 11.271.160.783; Menurut Terbanding : Terbanding berpendapat bahwa SKPKB yang pengajuan keberatannya diputus dengan keputusan keberatan a quo berdasarkan Pasal 2 huruf e UU PTUN tidak termasuk dalam pengertian Keputusan Tata Usaha Negara sehingga bukan merupakan objek sengketa Pengadilan Pajak yang berada di lingkungan Peradilan Tata Usaha Negara. Menurut Pemohon : bahwa prosedur verifikasi yang dilakukan oleh Terbanding tidak sesuai dengan ketentuan yang berlaku; Menurut Majelis : bahwa Terbanding menerbitkan SKPKB PPh Pasal 26 Tahun Pajak 2002 Nomor : 00007/204/02/073/13 tanggal 23 Mei 2013 dengan pajak yang kurang dibayar sebesar Rp 11.271.160.783 ditambah dengan sanksi administrasi sebesar Rp 5.410.157.176, sehingga terdapat jumlah PPh yang masih harus dibayar menurut SKPKB PPh Pasal 26 sebesar Rp 16.681.317.959, dengan alasan dan pertimbangan sebagai berikut: 1. Koreksi Pajak yang tidak/kurang dibayar dilakukan berdasarkan Putusan Mahkamah Agung RI Nomor 2239K/PID.SUS/2012 tanggal 18 Desember 2012; 2. Bahwa penerbitan SKPKB PPh Pasal 26 Tahun Pajak 2002 Nomor : 00007/204/02/073/13 tanggal 23 Mei 2013 telah sesuai dengan ketentuan Undang-undang Nomor 6 Tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan sebagaimana telah beberapa kali diubah terakhir dengan Undang- undang Nomor 16 Tahun 2009 dan peraturan pelaksanaannya; bahwa Pemohon Banding tidak setuju atas penerbitan SKPKB PPh Pasal 26 Tahun Pajak 2002 tersebut dengan alasan-alasan dan penjelasan sebagai berikut: 1. Putusan Mahkamah Agung Nomor: 2239K/PID.SUS/2012 tanggal 18 Desember 2012 adalah putusan terhadap Sdr. Suwir Laut bukan terhadap Pemohon Banding, dengan demikian Terbanding tidak memiliki kewenangan untuk menerbitkan SKPKB PPh Pasal 26 karena dalam",case_006,Permohonan ditolak
